id,name,company,description,site_url,logo_url
5,NHN Cloud Meetup,NHN,NHN의 기술 경험과 노하우,https://meetup.nhncloud.com,https://meetup.nhncloud.com/resources/img/favicon.ico
11,무신사 tech blog,무신사,팀 무신사의 테크 이야기를 공유합니다.,https://medium.com/musinsa-tech,https://miro.medium.com/v2/resize:fill:160:160/1*Qs-0adxK8doDYyzZXMXkmg.png
1,네이버 D2,네이버,네이버 개발자들의 기술 경험과 노하우 공유,https://d2.naver.com,https://d2.naver.com/favicon.ico
2,카카오 Tech,카카오,카카오의 기술 블로그,https://tech.kakao.com/blog,https://www.kakaocorp.com/page/favicon.ico
13,쏘카,쏘카,쏘카 기술블로그 ,https://tech.socarcorp.kr,https://tech.socarcorp.kr/assets/icon/favicon.ico
6,토스 Tech,토스,토스의 개발 문화와 기술,https://toss.tech,https://static.toss.im/tds/favicon/favicon.ico
7,당근 Tech Blog,당근마켓,당근마켓의 개발 이야기,https://medium.com/daangn,https://miro.medium.com/v2/resize:fill:160:160/1*Bm8_nGjfNiKV0PASwiPELg.png
16,카카오모빌리티 디벨로퍼스,카카오모빌리티,,https://developers.kakaomobility.com/,https://developers.kakaomobility.com/favicon.ico
14,여기어때 기술블로그,여기어때,,https://techblog.gccompany.co.kr/,https://miro.medium.com/v2/resize:fill:160:160/1*rGdUGkMoxT5SfrVKVAqbEw.png
15,올리브영 기술블로그,올리브영,,https://oliveyoung.tech/,https://oliveyoung.tech/favicon-32x32.png
8,컬리 기술 블로그,마켓컬리,컬리의 기술적 도전과 성장,https://helloworld.kurly.com,https://helloworld.kurly.com/assets/logo/ico_144.png
3,우아한기술블로그,우아한형제들,우아한형제들 기술블로그,https://techblog.woowahan.com,https://techblog.woowahan.com/wp-content/uploads/2020/08/favicon.ico
4,LY Corporation Tech Blog,라인,LINE의 기술과 문화,https://techblog.lycorp.co.jp/ko,https://techblog.lycorp.co.jp/favicon.ico
